date,latitude,longitude,crime_type
2025-07-05 06:00:00,37.77602018857574,-122.42231969532598,theft
2025-07-19 03:00:00,37.77642104729346,-122.42229114520357,burglary
2025-07-12 06:00:00,37.77549486813212,-122.4205642937213,assault
2025-07-05 10:00:00,37.77412118253265,-122.42356695540852,robbery
2025-07-03 23:00:00,37.77544193639283,-122.42147412349223,vandalism
2025-07-30 04:00:00,37.777155220820184,-122.41626459635485,fraud
2025-07-01 20:00:00,37.777417554603154,-122.41693007164368,vandalism
2025-07-26 14:00:00,37.78034611805448,-122.42254963772267,assault
2025-07-06 01:00:00,37.77192992129108,-122.41652538524811,theft
2025-07-20 10:00:00,37.77357997782702,-122.4252993178074,robbery
2025-07-09 22:00:00,37.770059594019195,-122.41211256703396,assault
2025-07-14 18:00:00,37.77769302839299,-122.41549906042358,burglary
2025-07-20 02:00:00,37.77389647748093,-122.42107919573641,robbery
2025-07-04 15:00:00,37.77551857294609,-122.4182527203148,vandalism
2025-07-16 12:00:00,37.77308698429166,-122.42360275798433,assault
2025-07-05 03:00:00,37.77391988801507,-122.41921867163022,vandalism
2025-07-28 15:00:00,37.778569570316286,-122.4199509890975,vandalism
2025-07-06 10:00:00,37.77698270023146,-122.42190429016817,vandalism
2025-07-28 13:00:00,37.77456543382703,-122.42080567245897,theft
2025-07-13 20:00:00,37.77720344175843,-122.42110096242743,vandalism
2025-07-15 07:00:00,37.77726970024012,-122.42279521015794,burglary
2025-07-21 11:00:00,37.77372572344994,-122.42197444173769,burglary
2025-07-18 05:00:00,37.770492761318096,-122.42372553327799,robbery
2025-07-17 01:00:00,37.772202515119,-122.41682800770332,fraud
2025-07-08 23:00:00,37.77087841418985,-122.42219633823936,vandalism
2025-07-12 12:00:00,37.77839330393798,-122.42306606261471,vandalism
2025-07-07 16:00:00,37.77891434564935,-122.41687548596055,assault
2025-07-20 03:00:00,37.77965912164048,-122.41829113893698,theft
2025-07-14 01:00:00,37.76884133335307,-122.41698649683215,fraud
2025-07-01 21:00:00,37.778114202731125,-122.4166517503274,robbery
2025-07-11 12:00:00,37.78153657392816,-122.41358763530918,fraud
2025-07-24 08:00:00,37.778235963141434,-122.41986811930008,vandalism
2025-07-20 18:00:00,37.76844631114639,-122.42377282303698,assault
2025-07-03 10:00:00,37.78020489492519,-122.41858688659771,theft
2025-07-22 06:00:00,37.7750250671114,-122.42140701386863,robbery
2025-07-29 09:00:00,37.7742028026805,-122.42227251584994,fraud
2025-07-20 19:00:00,37.77625328588975,-122.41910022448334,robbery
2025-07-30 03:00:00,37.77175297923229,-122.41680274180096,vandalism
2025-07-08 21:00:00,37.77490834711277,-122.42190798452478,robbery
2025-07-29 14:00:00,37.77976128893531,-122.415576835738,assault
2025-07-24 10:00:00,37.77676719061157,-122.422368841877,robbery
2025-07-24 14:00:00,37.77507520441631,-122.42013170966398,burglary
2025-07-11 03:00:00,37.775168824479785,-122.41824107635465,assault
2025-07-22 00:00:00,37.771355818050104,-122.42056369762605,fraud
2025-07-06 10:00:00,37.7744500363258,-122.42472800701681,theft
2025-07-21 04:00:00,37.769997113993114,-122.41661777752464,theft
2025-07-27 22:00:00,37.77796732285719,-122.42127039302106,vandalism
2025-07-01 20:00:00,37.76834286855258,-122.41716530465182,vandalism
2025-07-07 22:00:00,37.77746470113887,-122.42319243240507,burglary
2025-07-12 09:00:00,37.77783823270251,-122.42268030974628,fraud
2025-07-17 03:00:00,37.778856293847184,-122.41681269977133,theft
2025-07-26 00:00:00,37.77516057748949,-122.41837847572177,theft
2025-07-14 03:00:00,37.777649885398475,-122.42071575713204,theft
2025-07-01 13:00:00,37.774420760078904,-122.41833490520548,theft
2025-07-11 01:00:00,37.77133990864694,-122.42226211740663,robbery
2025-07-15 09:00:00,37.77949219717762,-122.41906922264754,fraud
